
Pin        DSO-138       DSO-150
PA0        ADCIN         ADCIN
PA1        VSENSEL2      SENSEL0
PA2        VSENSEL1      SENSEL1
PA3        CPLSEL        SENSEL2
PA4        TP11          SENSEL3
PA5        TP12          CPLSEL
PA6        V-MON         LCD_nRD
PA7        TESTSIG       PA7
PA8        TRIG          TRIG
PA9        TX            TX
PA10       RX            RX
PA11       USBDM         USBDM
PA12       USBDP         USBDP
PA13       SWDIO         SWDIO
PA14       SWCLK         SWCLK
PA15       LED           PA15
PA0        ADCIN         ADCIN
PB0        DB0           DB0
PB1        DB1           DB1
PB2        DB2           DB2
PB3        DB3           DB3
PB4        DB4           DB4
PB5        DB5           DB5
PB6        DB6           DB6
PB7        DB7           DB7
PB8        TL_PWM        TL_PWM
PB9        VGEN          LCD_nRESET
PB10       LCD_nRD       SCL
PB11       LCD_nRESET    SDA
PB12       BTN4          AMPSEL
PB13       BTN3          PB13
PB14       BTN2          PB14
PB15       BTN1          PB15
PB0        DB0           DB0
PC13       LCD_nCS       LCD_nCS
PC14       LCD_RS        LCD_RS
PC15       LCD_nWR       LCD_nWR
PB4        DB4           DB4
PB5        DB5           DB5
PB6        DB6           DB6
PB7        DB7           DB7
PB8        TL_PWM        TL_PWM
